Rank,Title,Year,Rating,Runtime
128,Raging Bull,1980,8.2,129
129,A Beautiful Mind,2001,8.2,135
130,The Secret in Their Eyes,2009,8.2,129
131,Judgment at Nuremberg,1961,8.2,179
132,Some Like It Hot,1959,8.2,121
133,Unforgiven,1992,8.2,130
134,The Truman Show,1998,8.2,103
135,No Country for Old Men,2007,8.1,122
136,Lock  Stock and Two Smoking Barrels,1998,8.1,107
137,The Sixth Sense,1999,8.1,107
138,The Treasure of the Sierra Madre,1948,8.1,126
139,Jurassic Park,1993,8.1,127
140,Shutter Island,2010,8.1,138
141,The Terminator,1984,8.1,107
142,The Thing,1982,8.1,109
143,Finding Nemo,2003,8.1,100
144,Chinatown,1974,8.1,130
145,V for Vendetta,2005,8.1,132
146,Inside Out,2015,8.1,95
147,Kill Bill: Vol. 1,2003,8.1,111
148,Dial M for Murder,1954,8.1,105
149,The Bridge on the River Kwai,1957,8.1,161
150,Gone with the Wind,1939,8.1,238
151,Trainspotting,1996,8.1,93
152,Prisoners,2013,8.1,153
153,Fargo,1996,8.1,98
154,Gran Torino,2008,8.1,116
155,My Neighbor Totoro,1988,8.1,86
156,Three Billboards Outside Ebbing Missouri,2017,8.1,115
157,The Deer Hunter,1978,8.1,183
158,Klaus,2019,8.1,96
159,On the Waterfront,1954,8.1,108
160,Warrior,2011,8.1,140
161,Wild Strawberries,1957,8.1,91
162,The Elephant Man,1980,8.1,124
163,The Seventh Seal,1957,8.1,96
164,Room,2015,8.1,118
165,The Big Lebowski,1998,8.1,117
166,The Third Man,1949,8.1,104
167,Blade Runner,1982,8.1,117
168,The General,1926,8.1,78
169,How to Train Your Dragon,2010,8.1,98
170,Before Sunrise,1995,8.1,101
171,Ben-Hur,1959,8.1,212
172,Mad Max: Fury Road,2015,8.1,120
173,12 Years a Slave,2013,8.1,134
174,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,130
175,Gone Girl,2014,8.1,149
176,The Grand Budapest Hotel,2014,8.1,99
177,Catch Me If You Can,2002,8.1,141
178,Barry Lyndon,1975,8.1,185
179,In the Name of the Father,1993,8.1,133
180,The Gold Rush,1925,8.1,95
181,Hacksaw Ridge,2016,8.1,139
182,Wild Tales,2014,8.1,122
183,Sherlock Jr.,1924,8.1,45
184,The Wages of Fear,1953,8.1,131
185,Mr. Smith Goes to Washington,1939,8.1,129
186,Memories of Murder,2003,8.1,131
187,Network,1976,8.1,121
188,Ratatouille,2007,8,111
189,Stand by Me,1986,8,89
190,Into the Wild,2007,8,148
191,Ford v Ferrari,2019,8,152
192,The Passion of Joan of Arc,1928,8,97
193,Hotel Rwanda,2004,8,121
194,Stalker,1979,8,162
195,A Streetcar Named Desire,1951,8,122
196,Platoon,1986,8,120
197,Spotlight,2015,8,129
198,Logan,2017,8,137
199,Rush,2013,8,123
200,The Terminator 2: Judgment Day,1991,8,137
201,Life of Brian,1979,8,94
202,The Exorcist,1973,8,122
203,Groundhog Day,1993,8,101
204,Tokyo Story,1953,8,136
205,Rocky,1976,8,120
206,Amores Perros,2000,8,154
207,Nausicaä of the Valley of the Wind,1984,8,117
208,The Incredibles,2004,8,115
209,Before Sunset,2004,8,80
210,The Grapes of Wrath,1940,8,129
211,Andrei Rublev,1966,8,205
212,Rebecca,1940,8,130
213,Cool Hand Luke,1967,8,127
214,To Be or Not to Be,1942,8,99
215,The Battle of Algiers,1966,8,121
216,Hachi: A Dog's Tale,2009,8,93
217,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,143
218,Pather Panchali,1955,8,125
219,The Handmaiden,2016,8,145
220,My Father and My Son,2005,8,112
221,The 400 Blows,1959,8,99
222,It Happened One Night,1934,8,105
223,La Haine,1995,8,98
224,The Princess Bride,1987,8,98
225,The Sound of Music,1965,8,172
226,Persona,1966,8,85
227,The Help,2011,8,146
228,Beauty and the Beast,1991,8,84
229,Dead Poets Society,1989,8,128
230,Central Station,1998,8,113
231,Aladdin,1992,8,90
232,Howl's Moving Castle,2004,8,119
233,The Iron Giant,1999,8,86
234,Fanny and Alexander,1982,8,312
235,White Heat,1949,8,114
236,Drishyam,2013,8,160
237,The Bandit,1996,8,128
238,In the Mood for Love,2000,8,98
239,Paris Texas,1984,8,145
240,Castle in the Sky,1986,8,125
241,The Red Shoes,1948,8,135
242,Underground,1995,8,170
243,The Hustler,1961,8,134
244,A Woman Under the Influence,1974,8,155
245,Mary and Max,2009,8,92
246,Dersu Uzala,1975,8,142
247,Monsters  Inc.,2001,8,92
248,Miracle in Cell No. 7,2019,8,132
249,Children of Heaven,1997,8,89
250,All About Eve,1950,8,138
